game,console,loose_val,complete_val,new_val,date(D/M/Y) 
Mortal Kombat Tournament Edition,gameboy-advance,61.08,138.20,138.20,22/03/2023
Crash and Spyro Superpack: Season of Ice &amp; Huge Adventure,gameboy-advance,17.49,29.99,29.99,22/03/2023
Bomberman [Classic NES Series],gameboy-advance,14.99,45.00,45.00,22/03/2023
Bomberman Max 2 Blue,gameboy-advance,12.99,43.59,43.59,22/03/2023
Lord of the Rings Fellowship of the Ring,gameboy-advance,9.50,25.53,25.53,22/03/2023
Lord of the Rings Two Towers,gameboy-advance,7.18,29.21,29.21,22/03/2023
Super Robot Taisen Original Generation,gameboy-advance,45.31,100.00,100.00,22/03/2023
Yu Yu Hakusho Spirit Detective,gameboy-advance,8.00,36.92,36.92,22/03/2023
Pink Panther Pinkadelic Pursuit,gameboy-advance,12.78,55.58,55.58,22/03/2023
Pokemon Sapphire [Not for Resale],gameboy-advance,265.00,N/A,N/A,22/03/2023
Zelda Minish Cap [Not for Resale Demo],gameboy-advance,215.62,N/A,N/A,22/03/2023
Duel Masters Kaijudo Showdown,gameboy-advance,3.62,10.99,10.99,22/03/2023
Max Payne,gameboy-advance,30.62,69.97,69.97,22/03/2023
Monsters Inc,gameboy-advance,6.86,15.30,15.30,22/03/2023
Robopon 2 Ring Version,gameboy-advance,69.99,230.00,230.00,22/03/2023
R-Type III The Third Lightning,gameboy-advance,49.11,99.00,99.00,22/03/2023
SpongeBob SquarePants Super Sponge,gameboy-advance,6.91,8.84,8.84,22/03/2023
Legend of Spyro A New Beginning,gameboy-advance,11.48,30.92,30.92,22/03/2023
Crazy Taxi Catch a Ride,gameboy-advance,13.22,55.00,55.00,22/03/2023
Gauntlet and Rampart,gameboy-advance,8.34,10.53,10.53,22/03/2023
Need for Speed Underground 2,gameboy-advance,9.28,25.00,25.00,22/03/2023
Yu-Gi-Oh Double Pack,gameboy-advance,14.84,49.99,49.99,22/03/2023
Naruto Ninja Council,gameboy-advance,14.00,49.99,49.99,22/03/2023
Yu-Gi-Oh Ultimate Masters,gameboy-advance,18.48,44.85,44.85,22/03/2023
Broken Sword The Shadow of the Templars,gameboy-advance,11.86,18.90,18.90,22/03/2023
GBA Video Shrek &amp; Shark Tale,gameboy-advance,60.00,99.98,99.98,22/03/2023
Onimusha Tactics,gameboy-advance,36.25,95.74,95.74,22/03/2023
Super Puzzle Fighter 2,gameboy-advance,28.73,42.34,42.34,22/03/2023
Super Robot Taisen Original Generation 2,gameboy-advance,67.00,155.33,155.33,22/03/2023
Legend of Spyro The Eternal Night,gameboy-advance,14.83,42.28,42.28,22/03/2023
Rayman 3,gameboy-advance,13.75,34.00,34.00,22/03/2023
Action Replay Max,gameboy-advance,91.52,225.81,225.81,22/03/2023
CT Special Forces,gameboy-advance,40.02,46.50,46.50,22/03/2023
Kim Possible 3,gameboy-advance,6.75,14.50,14.50,22/03/2023
Monster Rancher Advance,gameboy-advance,15.01,64.89,64.89,22/03/2023
Mr. Driller 2,gameboy-advance,43.36,65.31,65.31,22/03/2023
The Lost Vikings,gameboy-advance,25.60,48.27,48.27,22/03/2023
Dogz,gameboy-advance,6.45,13.33,13.33,22/03/2023
Lilo and Stitch,gameboy-advance,9.99,35.15,35.15,22/03/2023
Mortal Kombat Advance,gameboy-advance,27.99,88.00,88.00,22/03/2023
Robopon 2 Cross Version,gameboy-advance,64.99,429.99,429.99,22/03/2023
Xevious [Classic NES Series],gameboy-advance,10.19,29.22,29.22,22/03/2023
SD Gundam Force,gameboy-advance,33.01,85.00,85.00,22/03/2023
SpongeBob SquarePants Lights Camera Pants,gameboy-advance,6.51,15.45,15.45,22/03/2023
Spyro Superpack,gameboy-advance,14.99,54.68,54.68,22/03/2023
Madagascar,gameboy-advance,5.54,8.99,8.99,22/03/2023
Sonic Pinball Party,gameboy-advance,36.43,99.99,99.99,22/03/2023
The Revenge of Shinobi,gameboy-advance,10.00,62.00,62.00,22/03/2023
Dark Arena,gameboy-advance,15.32,33.45,33.45,22/03/2023
Mobile Suit Gundam Seed Battle Assault,gameboy-advance,25.29,80.04,80.04,22/03/2023
Chu Chu Rocket,gameboy-advance,19.00,39.99,39.99,22/03/2023
Cima The Enemy,gameboy-advance,56.53,126.02,126.02,22/03/2023
Magical Quest 2 Starring Mickey and Minnie,gameboy-advance,14.95,90.00,90.00,22/03/2023
Medal of Honor Infiltrator,gameboy-advance,23.35,35.32,35.32,22/03/2023
Zone of the Enders The Fist of Mars,gameboy-advance,34.90,101.38,101.38,22/03/2023
GBA Video Pokemon Johto Photo Finish and Playing with Fire,gameboy-advance,12.00,68.82,68.82,22/03/2023
Pitfall Mayan Adventure,gameboy-advance,8.89,17.00,17.00,22/03/2023
Duel Masters Sempai Legends,gameboy-advance,6.17,24.00,24.00,22/03/2023
GBA Video Sonic X Volume 1,gameboy-advance,9.99,57.28,57.28,22/03/2023
Ms. Pac-Man Maze Madness,gameboy-advance,6.65,9.66,9.66,22/03/2023
Need for Speed Porsche Unleashed,gameboy-advance,6.93,15.33,15.33,22/03/2023
Tony Hawk 3,gameboy-advance,6.76,19.56,19.56,22/03/2023
007 Everything or Nothing,gameboy-advance,10.00,24.26,24.26,22/03/2023
Digimon Battle Spirit 2,gameboy-advance,24.99,120.00,120.00,22/03/2023
Rebelstar Tactical Command,gameboy-advance,24.99,50.94,50.94,22/03/2023
Chronicles of Narnia Lion Witch and the Wardrobe,gameboy-advance,5.00,7.34,7.34,22/03/2023
Super Mario Advance 4 Series 2 E-Reader,gameboy-advance,N/A,N/A,N/A,22/03/2023
Crash Superpack,gameboy-advance,12.50,45.25,45.25,22/03/2023
Tony Hawk Underground,gameboy-advance,7.54,18.12,18.12,22/03/2023
Yu Yu Hakusho Tournament Tactics,gameboy-advance,12.27,39.42,39.42,22/03/2023
Lord of the Rings Return of the King,gameboy-advance,14.99,31.00,31.00,22/03/2023
Star Wars Episode II Attack of the Clones,gameboy-advance,5.79,33.74,33.74,22/03/2023
Battle B-Daman,gameboy-advance,11.13,33.95,33.95,22/03/2023
Cartoon Network Speedway,gameboy-advance,7.95,19.99,19.99,22/03/2023
Paperboy &amp; Rampage,gameboy-advance,9.16,12.63,12.63,22/03/2023
Texas Hold Em Poker,gameboy-advance,3.58,6.89,6.89,22/03/2023
Tony Hawk 4,gameboy-advance,6.37,21.35,21.35,22/03/2023
Bomberman Max 2 Red,gameboy-advance,10.67,49.95,49.95,22/03/2023
Harry Potter Quidditch World Cup,gameboy-advance,9.68,19.41,19.41,22/03/2023
Shaman King Soaring Hawk,gameboy-advance,12.00,48.49,48.49,22/03/2023
GBA Video SpongeBob SquarePants Volume 1,gameboy-advance,12.99,15.00,15.00,22/03/2023
Star Wars The New Droid Army,gameboy-advance,4.99,13.67,13.67,22/03/2023
Fire Pro Wrestling,gameboy-advance,11.86,21.20,21.20,22/03/2023
Gekido Advance Kintaro's Revenge,gameboy-advance,39.50,88.31,88.31,22/03/2023
Naruto Ninja Council 2,gameboy-advance,14.27,58.85,58.85,22/03/2023
Masters of the Universe,gameboy-advance,16.08,49.99,49.99,22/03/2023
007 Nightfire,gameboy-advance,22.38,60.00,60.00,22/03/2023
Digimon Battle Spirit,gameboy-advance,15.47,76.51,76.51,22/03/2023
GBA Video Disney Channel Collection Volume 2,gameboy-advance,70.80,155.88,155.88,22/03/2023
GBA Video Teenage Mutant Ninja Turtles Volume 1,gameboy-advance,12.97,20.51,20.51,22/03/2023
GT Advance Championship Racing,gameboy-advance,8.54,19.99,19.99,22/03/2023
Rayman 10th Anniversary Collection,gameboy-advance,18.83,43.00,43.00,22/03/2023
The Tower SP,gameboy-advance,28.99,36.38,36.38,22/03/2023
Monster Rancher Advance 2,gameboy-advance,20.25,67.79,67.79,22/03/2023
A Sound of Thunder,gameboy-advance,33.87,140.00,140.00,22/03/2023
Buffy the Vampire Slayer Wrath of the Darkhul King,gameboy-advance,36.50,69.47,69.47,22/03/2023
Robot Wars Advanced Destruction,gameboy-advance,7.95,13.33,13.33,22/03/2023
Scooby Doo Mystery Mayhem,gameboy-advance,9.54,29.96,29.96,22/03/2023
Spiderman Battle for New York,gameboy-advance,9.99,33.31,33.31,22/03/2023
Gauntlet Dark Legacy,gameboy-advance,32.88,70.33,70.33,22/03/2023
Guilty Gear X Advance Edition,gameboy-advance,28.96,55.95,55.95,22/03/2023
Magical Quest Starring Mickey and Minnie,gameboy-advance,14.65,68.93,68.93,22/03/2023
Need for Speed Most Wanted,gameboy-advance,8.97,20.48,20.48,22/03/2023
Need for Speed Underground,gameboy-advance,9.06,16.16,16.16,22/03/2023
Pac-Man [Classic NES Series],gameboy-advance,11.20,31.47,31.47,22/03/2023
Scooby Doo Cyber Chase And Mystery Mayhem,gameboy-advance,6.99,14.61,14.61,22/03/2023
Strawberry Shortcake Summertime Adventure,gameboy-advance,5.73,13.47,13.47,22/03/2023
Teen Titans 2,gameboy-advance,19.92,99.97,99.97,22/03/2023
Harry Potter and the Order of the Phoenix,gameboy-advance,15.42,30.99,30.99,22/03/2023
Lord of the Rings: The Third Age,gameboy-advance,15.82,39.99,39.99,22/03/2023
Power Rangers Dino Thunder,gameboy-advance,8.59,14.34,14.34,22/03/2023
Rock 'n Roll Racing,gameboy-advance,29.99,91.33,91.33,22/03/2023
The Bible Game,gameboy-advance,8.25,25.69,25.69,22/03/2023
Jackie Chan Adventures,gameboy-advance,12.69,62.46,62.46,22/03/2023
Midway's Greatest Arcade Hits,gameboy-advance,5.90,12.99,12.99,22/03/2023
Power Rangers SPD,gameboy-advance,7.44,23.95,23.95,22/03/2023
Teen Titans,gameboy-advance,14.77,53.00,53.00,22/03/2023
Ultimate Muscles Path Of The Superhero,gameboy-advance,14.00,52.67,52.67,22/03/2023
Extreme Ghostbusters,gameboy-advance,19.06,83.50,83.50,22/03/2023
GBA Video SpongeBob SquarePants Volume 3,gameboy-advance,19.91,65.33,65.33,22/03/2023
Serious Sam Advance,gameboy-advance,27.52,72.67,72.67,22/03/2023
Space Channel 5 Ulalas Cosmic Attack,gameboy-advance,70.13,173.78,173.78,22/03/2023
GBA Video Nicktoons Collection Volume 1,gameboy-advance,4.88,10.00,10.00,22/03/2023
Gem Smashers,gameboy-advance,14.94,142.99,142.99,22/03/2023
Pac-Man Pinball,gameboy-advance,7.25,21.61,21.61,22/03/2023
iQue,gameboy-advance,95.00,208.83,208.83,22/03/2023
Butt Ugly Martians BKM Battles,gameboy-advance,3.93,6.00,6.00,22/03/2023
Kim Possible 2,gameboy-advance,7.91,18.00,18.00,22/03/2023
Monopoly,gameboy-advance,9.72,13.56,13.56,22/03/2023
Rave Master Special Attack Force,gameboy-advance,11.79,30.00,30.00,22/03/2023
Robotech The Macross Saga,gameboy-advance,13.97,58.25,58.25,22/03/2023
Scooby Doo,gameboy-advance,6.67,15.01,15.01,22/03/2023
Teenage Mutant Ninja Turtles Double Pack,gameboy-advance,44.06,116.66,116.66,22/03/2023
Tony Hawk Underground 2,gameboy-advance,8.88,22.75,22.75,22/03/2023
Batman Begins,gameboy-advance,11.33,16.97,16.97,22/03/2023
Batman Rise of Sin Tzu,gameboy-advance,25.47,80.38,80.38,22/03/2023
GBA Video Yu-Gi-Oh Yugi vs. Joey,gameboy-advance,8.42,17.33,17.33,22/03/2023
Little Mermaid Magic in Two Kingdoms,gameboy-advance,9.38,17.94,17.94,22/03/2023
Tak and the Power of JuJu,gameboy-advance,7.29,16.03,16.03,22/03/2023
The Incredible Hulk,gameboy-advance,5.99,25.02,25.02,22/03/2023
Tom and Jerry in Infurnal Escape,gameboy-advance,9.41,18.90,18.90,22/03/2023
CT Special Forces 2,gameboy-advance,39.25,54.46,54.46,22/03/2023
The Hobbit,gameboy-advance,9.48,16.99,16.99,22/03/2023
Excitebike [Classic NES Series],gameboy-advance,22.98,66.15,66.15,22/03/2023
Jimmy Neutron Attack of the Twonkies,gameboy-advance,5.99,20.08,20.08,22/03/2023
LEGO Bionicle,gameboy-advance,7.03,30.39,30.39,22/03/2023
The Sims 2,gameboy-advance,15.00,21.37,21.37,22/03/2023
Turok Evolution,gameboy-advance,17.97,65.33,65.33,22/03/2023
SpongeBob SquarePants Creature from Krusty Krab,gameboy-advance,9.99,16.05,16.05,22/03/2023
Backyard Baseball,gameboy-advance,9.99,22.25,22.25,22/03/2023
Fire Pro Wrestling 2,gameboy-advance,25.70,45.02,45.02,22/03/2023
Invincible Iron Man,gameboy-advance,65.91,159.50,159.50,22/03/2023
Racing Gears Advance,gameboy-advance,39.00,113.00,113.00,22/03/2023
Splinter Cell,gameboy-advance,13.53,49.99,49.99,22/03/2023
Gumby vs. the Astrobots,gameboy-advance,18.36,33.45,33.45,22/03/2023
Activision Anthology,gameboy-advance,25.33,34.09,34.09,22/03/2023
Aero the Acro-Bat,gameboy-advance,9.25,39.56,39.56,22/03/2023
Jurassic Park III Park Builder,gameboy-advance,19.34,33.42,33.42,22/03/2023
Phalanx,gameboy-advance,22.50,66.48,66.48,22/03/2023
Road Rash Jailbreak,gameboy-advance,8.23,20.00,20.00,22/03/2023
Shaman King Sprinting Wolf,gameboy-advance,12.00,43.00,43.00,22/03/2023
Shark Tale,gameboy-advance,3.03,9.85,9.85,22/03/2023
The Urbz Sims in the City,gameboy-advance,21.50,23.08,23.08,22/03/2023
Avatar the Last Airbender,gameboy-advance,11.13,26.23,26.23,22/03/2023
Battlebots Design and Destroy,gameboy-advance,6.87,19.00,19.00,22/03/2023
GBA Video Dragon Ball GT Volume 1,gameboy-advance,12.48,15.00,15.00,22/03/2023
Namco Museum 50th Anniversary,gameboy-advance,11.09,22.49,22.49,22/03/2023
Power Rangers Ninja Storm,gameboy-advance,7.95,14.99,14.99,22/03/2023
Prince of Persia Sands of Time,gameboy-advance,10.98,21.00,21.00,22/03/2023
Spiderman 3,gameboy-advance,13.10,23.95,23.95,22/03/2023
Super Mario Advance 4 Series 1 E-Reader,gameboy-advance,40.00,69.95,69.95,22/03/2023
GBA Video Super Robot Monkey Team Volume 1,gameboy-advance,104.70,223.34,223.34,22/03/2023
Sega Arcade Gallery,gameboy-advance,31.49,65.33,65.33,22/03/2023
SimCity 2000,gameboy-advance,13.10,32.12,32.12,22/03/2023
Yu-Gi-Oh Double Pack 2,gameboy-advance,11.43,29.95,29.95,22/03/2023
Ace Combat Advance,gameboy-advance,6.39,21.79,21.79,22/03/2023
GBA Video SpongeBob SquarePants Volume 2,gameboy-advance,12.50,20.67,20.67,22/03/2023
Gremlins Stripe vs Gizmo,gameboy-advance,15.26,47.61,47.61,22/03/2023
Hot Wheels Stunt Track Challenge,gameboy-advance,5.74,9.99,9.99,22/03/2023
Star Wars Episode I Jedi Power Battles,gameboy-advance,19.99,32.99,32.99,22/03/2023
Batman Vengeance,gameboy-advance,16.37,44.99,44.99,22/03/2023
Earthworm Jim 2,gameboy-advance,39.00,104.87,104.87,22/03/2023
2 Games in 1 Double Pack: SpongeBob,gameboy-advance,9.64,9.99,9.99,22/03/2023
Digimon Racing,gameboy-advance,15.70,37.76,37.76,22/03/2023
Marvel Ultimate Alliance,gameboy-advance,8.48,33.47,33.47,22/03/2023
Snood,gameboy-advance,7.70,9.98,9.98,22/03/2023
Baseball Advance,gameboy-advance,13.75,34.99,34.99,22/03/2023
Monster House,gameboy-advance,8.70,24.06,24.06,22/03/2023
SpongeBob's Atlantis SquarePantis,gameboy-advance,8.67,19.19,19.19,22/03/2023
Tomb Raider Legend,gameboy-advance,13.61,17.59,17.59,22/03/2023
Army Men Advance,gameboy-advance,9.33,35.00,35.00,22/03/2023
Bubble Bobble Old and New,gameboy-advance,23.56,35.85,35.85,22/03/2023
Cartoon Network Block Party,gameboy-advance,7.41,16.14,16.14,22/03/2023
Chicken Little,gameboy-advance,3.74,11.87,11.87,22/03/2023
Crash of the Titans,gameboy-advance,9.31,34.00,34.00,22/03/2023
Mazes of Fate,gameboy-advance,35.58,58.47,58.47,22/03/2023
Motocross Maniacs Advance,gameboy-advance,12.13,46.67,46.67,22/03/2023
Pirates of the Caribbean Dead Man's Chest,gameboy-advance,2.99,14.31,14.31,22/03/2023
Battle B-Daman: Fire Spirits,gameboy-advance,10.98,44.84,44.84,22/03/2023
Boulder Dash EX,gameboy-advance,23.65,47.46,47.46,22/03/2023
Dexter's Laboratory Deesaster Strikes,gameboy-advance,7.59,7.62,7.62,22/03/2023
Disney's Extreme Skate Adventure,gameboy-advance,5.49,9.70,9.70,22/03/2023
Froggers Adventures 2 Lost Wand,gameboy-advance,12.68,39.99,39.99,22/03/2023
Ms. Pac-Man Maze Madness Pac-Man World,gameboy-advance,9.72,19.19,19.19,22/03/2023
Nicktoons Racing,gameboy-advance,8.07,25.99,25.99,22/03/2023
Tomb Raider the Prophecy,gameboy-advance,17.38,46.00,46.00,22/03/2023
Top Gear Rally,gameboy-advance,10.00,37.42,37.42,22/03/2023
Defender of the Crown,gameboy-advance,15.00,30.56,30.56,22/03/2023
Duel Masters Shadow of The Code,gameboy-advance,33.95,101.34,101.34,22/03/2023
Elf Bowling 1 &amp; 2,gameboy-advance,17.48,38.14,38.14,22/03/2023
GBA Video Cartoon Network Collection Limited Edition,gameboy-advance,12.00,22.22,22.22,22/03/2023
Hello Kitty Happy Party Pals,gameboy-advance,14.29,20.60,20.60,22/03/2023
Monster Trucks,gameboy-advance,5.28,7.97,7.97,22/03/2023
Oddworld Munch's Oddysee,gameboy-advance,10.95,49.99,49.99,22/03/2023
Space Invaders,gameboy-advance,14.99,29.60,29.60,22/03/2023
Fantastic 4,gameboy-advance,5.03,11.19,11.19,22/03/2023
Beyblade Grevolution,gameboy-advance,9.58,57.46,57.46,22/03/2023
Ecks vs. Sever,gameboy-advance,15.00,20.36,20.36,22/03/2023
Fairly Odd Parents: Breakin' Da Rules,gameboy-advance,7.99,14.95,14.95,22/03/2023
GBA Video Disney Channel Collection Volume 1,gameboy-advance,22.95,79.99,79.99,22/03/2023
Hi Hi Puffy AmiYumi Kaznapped,gameboy-advance,7.84,24.61,24.61,22/03/2023
Need for Speed Carbon Own the City,gameboy-advance,8.39,17.56,17.56,22/03/2023
Spiderman Double Pack,gameboy-advance,14.15,17.65,17.65,22/03/2023
Backyard Football,gameboy-advance,4.94,10.64,10.64,22/03/2023
Centipede Breakout and Warlords,gameboy-advance,7.05,7.84,7.84,22/03/2023
GBA Video Cartoon Network Collection Platinum Edition,gameboy-advance,12.26,19.95,19.95,22/03/2023
Galidor Defenders of the Outer Dimension,gameboy-advance,4.41,24.98,24.98,22/03/2023
Hot Wheels All Out,gameboy-advance,5.01,10.15,10.15,22/03/2023
Juka and the Monophonic Menace,gameboy-advance,41.87,117.25,117.25,22/03/2023
Monster Truck Madness,gameboy-advance,4.93,19.69,19.69,22/03/2023
Puyo Pop,gameboy-advance,23.19,41.78,41.78,22/03/2023
Ratatouille,gameboy-advance,8.13,18.95,18.95,22/03/2023
Rugrats Castle Capers,gameboy-advance,6.25,13.75,13.75,22/03/2023
Sabre Wulf,gameboy-advance,52.43,134.77,134.77,22/03/2023
Shrek Superslam,gameboy-advance,4.99,14.99,14.99,22/03/2023
Top Gun Firestorm Advance,gameboy-advance,4.49,12.50,12.50,22/03/2023
Danny Phantom The Ultimate Enemy,gameboy-advance,8.53,19.95,19.95,22/03/2023
ET the Extra Terrestrial,gameboy-advance,4.19,16.50,16.50,22/03/2023
Pac-Man World,gameboy-advance,9.73,11.21,11.21,22/03/2023
Pitfall The Lost Expedition,gameboy-advance,9.34,15.00,15.00,22/03/2023
SSX Tricky,gameboy-advance,9.30,27.53,27.53,22/03/2023
Tak 2 The Staff of Dreams,gameboy-advance,4.99,15.00,15.00,22/03/2023
Top Gun Combat Zone,gameboy-advance,6.73,13.62,13.62,22/03/2023
Van Helsing,gameboy-advance,7.99,14.05,14.05,22/03/2023
Wing Commander Prophecy,gameboy-advance,9.45,13.29,13.29,22/03/2023
Woody Woodpecker in Crazy Castle 5,gameboy-advance,13.99,56.91,56.91,22/03/2023
Alex Rider Stormbreaker,gameboy-advance,3.23,7.88,7.88,22/03/2023
Amazing Virtual Sea-Monkeys,gameboy-advance,13.00,51.02,51.02,22/03/2023
Battlebots Beyond the Battlebox,gameboy-advance,16.95,565.55,565.55,22/03/2023
Driver 2 Advance,gameboy-advance,8.63,13.92,13.92,22/03/2023
Operation Armored Liberty,gameboy-advance,2.68,7.61,7.61,22/03/2023
Rayman Raving Rabbids,gameboy-advance,9.72,29.37,29.37,22/03/2023
F-14 Tomcat,gameboy-advance,6.77,10.99,10.99,22/03/2023
Air Hockey E-Reader,gameboy-advance,0.95,2.05,2.05,22/03/2023
Catz,gameboy-advance,3.99,7.96,7.96,22/03/2023
GBA Video All Grown Up Volume 1,gameboy-advance,7.53,7.60,7.60,22/03/2023
Grim Adventures of Billy &amp; Mandy,gameboy-advance,14.93,25.00,25.00,22/03/2023
Jurassic Park III Island Attack,gameboy-advance,17.50,87.09,87.09,22/03/2023
Pinobee Wings of Adventure,gameboy-advance,5.99,37.00,37.00,22/03/2023
Star X,gameboy-advance,16.43,27.36,27.36,22/03/2023
TRON 2.0 Killer App,gameboy-advance,10.49,19.02,19.02,22/03/2023
The Sims 2: Pets,gameboy-advance,8.99,25.00,25.00,22/03/2023
Ballistic Ecks vs Sever,gameboy-advance,15.00,36.34,36.34,22/03/2023
Board Game Classics,gameboy-advance,5.40,7.99,7.99,22/03/2023
Charlotte's Web,gameboy-advance,6.20,12.34,12.34,22/03/2023
Flintstones Big Trouble in Bedrock,gameboy-advance,8.00,36.00,36.00,22/03/2023
GT Advance 3 Pro Concept Racing,gameboy-advance,12.99,28.98,28.98,22/03/2023
Nicktoons Battle for Volcano Island,gameboy-advance,4.64,16.48,16.48,22/03/2023
Popeye Rush for Spinach,gameboy-advance,18.12,39.95,39.95,22/03/2023
Power Rangers Time Force,gameboy-advance,9.95,13.95,13.95,22/03/2023
Tak Great Juju Challenge,gameboy-advance,4.50,10.72,10.72,22/03/2023
Kim Possible: Revenge of Monkey Fist,gameboy-advance,10.70,23.44,23.44,22/03/2023
Scooby Doo Unmasked,gameboy-advance,10.00,28.00,28.00,22/03/2023
Tony Hawk American Skateland,gameboy-advance,5.45,7.88,7.88,22/03/2023
Bookworm,gameboy-advance,12.83,24.76,24.76,22/03/2023
GBA Video Nicktoons Collection Volume 2,gameboy-advance,4.49,6.49,6.49,22/03/2023
Rayman Hoodlum's Revenge,gameboy-advance,10.90,20.86,20.86,22/03/2023
Samurai Jack The Amulet Of Time,gameboy-advance,12.00,54.49,54.49,22/03/2023
Scooby Doo 2: Monsters Unleashed,gameboy-advance,6.92,20.62,20.62,22/03/2023
WWE Road To WrestleMania X8,gameboy-advance,14.11,31.50,31.50,22/03/2023
Brother Bear,gameboy-advance,6.65,7.36,7.36,22/03/2023
Drome Racers,gameboy-advance,24.99,85.33,85.33,22/03/2023
Lemony Snicket's A Series of Unfortunate Events,gameboy-advance,6.79,14.81,14.81,22/03/2023
Rugrats Go Wild,gameboy-advance,3.99,7.39,7.39,22/03/2023
Shrek 2 and Shark Tale 2 in 1,gameboy-advance,7.47,16.99,16.99,22/03/2023
Worms World Party,gameboy-advance,15.28,45.99,45.99,22/03/2023
3-in-1 Rec Room Challenge,gameboy-advance,5.47,11.94,11.94,22/03/2023
3-in-1 Sports Pack,gameboy-advance,2.85,11.99,11.99,22/03/2023
3D Pool,gameboy-advance,6.07,7.38,7.38,22/03/2023
ATV Quad Power Racing,gameboy-advance,4.99,5.82,5.82,22/03/2023
ATV Thunder Ridge Riders,gameboy-advance,4.50,9.34,9.34,22/03/2023
Agassi Tennis Generation,gameboy-advance,4.66,8.95,8.95,22/03/2023
Aggravation / Sorry /  Scrabble Jr,gameboy-advance,4.59,7.26,7.26,22/03/2023
Aggressive Inline,gameboy-advance,4.66,13.31,13.31,22/03/2023
Airforce Delta Storm,gameboy-advance,13.43,35.00,35.00,22/03/2023
Alienators Evolution Continues,gameboy-advance,5.02,19.00,19.00,22/03/2023
All-Star Baseball 2003,gameboy-advance,5.40,15.00,15.00,22/03/2023
All-Star Baseball 2004,gameboy-advance,7.72,9.95,9.95,22/03/2023
American Bass Challenge,gameboy-advance,8.86,20.00,20.00,22/03/2023
American Dragon Jake Long Rise of the Huntsclan,gameboy-advance,5.90,7.72,7.72,22/03/2023
American Idol,gameboy-advance,4.93,5.68,5.68,22/03/2023
An American Tail Fievel's Gold Rush,gameboy-advance,8.96,32.35,32.35,22/03/2023
Animal Crossing Series 2 E-Reader,gameboy-advance,70.00,N/A,N/A,22/03/2023
Animal Crossing Series 3 E-Reader,gameboy-advance,5.20,N/A,N/A,22/03/2023
Animal Snap,gameboy-advance,5.05,5.98,5.98,22/03/2023
Ant Bully,gameboy-advance,4.36,9.97,9.97,22/03/2023
Antz Extreme Racing,gameboy-advance,4.45,10.55,10.55,22/03/2023
Arctic Tale,gameboy-advance,5.11,8.05,8.05,22/03/2023
Army Men Operation Green,gameboy-advance,16.11,81.99,81.99,22/03/2023
Army Men Turf Wars,gameboy-advance,18.34,134.51,134.51,22/03/2023
Around the World in 80 Days,gameboy-advance,4.49,9.97,9.97,22/03/2023
Arthur and the Invisibles,gameboy-advance,5.17,5.25,5.25,22/03/2023
Atari Anniversary Advance,gameboy-advance,10.91,16.24,16.24,22/03/2023
Atomic Betty,gameboy-advance,8.22,14.34,14.34,22/03/2023
Avatar The Burning Earth,gameboy-advance,13.95,44.99,44.99,22/03/2023
BMX Trick Racer,gameboy-advance,4.40,13.50,13.50,22/03/2023
Babar: To the Rescue,gameboy-advance,8.65,17.36,17.36,22/03/2023
Back Track,gameboy-advance,24.19,55.00,55.00,22/03/2023
Back to Stone,gameboy-advance,15.87,19.16,19.16,22/03/2023
Backyard Baseball 2006,gameboy-advance,8.00,22.71,22.71,22/03/2023
Backyard Baseball 2007,gameboy-advance,5.70,7.98,7.98,22/03/2023
Backyard Basketball,gameboy-advance,4.99,10.13,10.13,22/03/2023
Backyard Basketball 2007,gameboy-advance,4.99,9.07,9.07,22/03/2023
Backyard Football 2006,gameboy-advance,5.00,5.45,5.45,22/03/2023
Backyard Football 2007,gameboy-advance,4.89,9.37,9.37,22/03/2023
Backyard Hockey,gameboy-advance,4.44,11.11,11.11,22/03/2023
Backyard Skateboarding,gameboy-advance,5.64,8.06,8.06,22/03/2023
Balloon Fight E-Reader,gameboy-advance,12.12,26.67,26.67,22/03/2023
Barbie Diaries High School Mystery,gameboy-advance,4.49,5.13,5.13,22/03/2023
Barbie Groovy Games,gameboy-advance,4.60,11.99,11.99,22/03/2023
Barbie Horse Adventures Blue Ribbon Race,gameboy-advance,4.21,10.99,10.99,22/03/2023
Barbie Princess and the Pauper,gameboy-advance,14.94,32.50,32.50,22/03/2023
Barbie Secret Agent Barbie,gameboy-advance,8.38,13.82,13.82,22/03/2023
Barbie Superpack,gameboy-advance,10.49,12.30,12.30,22/03/2023
Barbie and the Magic of Pegasus,gameboy-advance,10.54,16.14,16.14,22/03/2023
Barbie as the Island Princess,gameboy-advance,5.25,10.15,10.15,22/03/2023
Barbie in The 12 Dancing Princesses,gameboy-advance,7.90,10.63,10.63,22/03/2023
Barnyard,gameboy-advance,8.60,16.65,16.65,22/03/2023
Baseball E-Reader,gameboy-advance,9.00,20.00,20.00,22/03/2023
Battle for Bikini Bottom &amp; Freeze Frame Frenzy Double Pack,gameboy-advance,7.45,8.06,8.06,22/03/2023
Bee Game,gameboy-advance,11.40,199.95,199.95,22/03/2023
Berenstain Bears and the Spooky Old Tree,gameboy-advance,12.50,20.99,20.99,22/03/2023
Big Mutha Truckers,gameboy-advance,7.06,10.02,10.02,22/03/2023
Bionicle Heroes,gameboy-advance,10.72,19.45,19.45,22/03/2023
Bionicle Matoran Adventures,gameboy-advance,7.84,28.01,28.01,22/03/2023
